id_giscoR,year,epsg,resolution,spatialtype,nuts_level,level,ext,api_file,api_entry
coastallines,"2006,2010,2013,2016","3035,3857,4326","01,03,10,20,60",RG,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COAS_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/coas
communes,"2001,2004,2006,2008,2010,2013,2016","3035,3857,4326",NA,LB,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_LB_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
communes,"2001,2010,2013,2016","3035,3857,4326",01,BN,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_BN_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
communes,"2001,2010,2013,2016","3035,3857,4326",01,RG,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
communes,"2004,2006,2008","3035,3857,4326",NA,BN,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_BN_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
communes,"2004,2006,2008","3035,3857,4326",NA,RG,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_RG_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
communes,"2006,2008","3035,3857,4326",NA,COASTL,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_BN_{year}_{epsg}_COASTL.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
communes,"2006,2008","3035,3857,4326",NA,INLAND,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_BN_{year}_{epsg}_INLAND.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
communes,"2010,2013,2016","3035,3857,4326",01,COASTL,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_BN_{resolution}M_{year}_{epsg}_COASTL.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
communes,"2010,2013,2016","3035,3857,4326",01,INLAND,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/COMM_BN_{resolution}M_{year}_{epsg}_INLAND.{ext},https://gisco-services.ec.europa.eu/distribution/v2/communes
countries,"2001,2006,2010,2013,2016,2020","3035,3857,4326","01,03,10,20",BN,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_BN_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
countries,"2001,2006,2010,2013,2016,2020","3035,3857,4326","01,03,10,20",COASTL,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_BN_{resolution}M_{year}_{epsg}_COASTL.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
countries,"2001,2006,2010,2013,2016,2020","3035,3857,4326","01,03,10,20",INLAND,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_BN_{resolution}M_{year}_{epsg}_INLAND.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
countries,"2001,2006,2010,2013,2016,2020","3035,3857,4326","01,03,10,20",RG,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
countries,"2001,2006,2010,2013,2016,2020","3035,3857,4326",NA,LB,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_LB_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
countries,"2006,2010,2013,2016,2020","3035,3857,4326",60,BN,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_BN_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
countries,"2006,2010,2013,2016,2020","3035,3857,4326",60,COASTL,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_BN_{resolution}M_{year}_{epsg}_COASTL.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
countries,"2006,2010,2013,2016,2020","3035,3857,4326",60,INLAND,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_BN_{resolution}M_{year}_{epsg}_INLAND.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
countries,"2006,2010,2013,2016,2020","3035,3857,4326",60,RG,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/CNTR_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/countries
lau,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020","3035,3857,4326",01,RG,NA,NA,"geojson,pbf,shp,svg,topojson",{ext}/LAU_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/lau
nuts,"2003,2006,2010,2013,2016,2021","3035,3857,4326","01,03,10,20",BN,all,NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_BN_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2003,2006,2010,2013,2016,2021","3035,3857,4326","01,03,10,20",BN,"0,1,2,3",NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_BN_{resolution}M_{year}_{epsg}_LEVL_{nuts_level}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2003,2006,2010,2013,2016,2021","3035,3857,4326","01,03,10,20",RG,all,NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2003,2006,2010,2013,2016,2021","3035,3857,4326","01,03,10,20",RG,"0,1,2,3",NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_RG_{resolution}M_{year}_{epsg}_LEVL_{nuts_level}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2003,2006,2010,2013,2016,2021","3035,3857,4326",NA,LB,all,NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_LB_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2003,2006,2010,2013,2016,2021","3035,3857,4326",NA,LB,"0,1,2,3",NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_LB_{year}_{epsg}_LEVL_{nuts_level}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2006,2010,2013,2016,2021","3035,3857,4326",60,BN,all,NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_BN_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2006,2010,2013,2016,2021","3035,3857,4326",60,BN,"0,1,2,3",NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_BN_{resolution}M_{year}_{epsg}_LEVL_{nuts_level}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2006,2010,2013,2016,2021","3035,3857,4326",60,RG,all,NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
nuts,"2006,2010,2013,2016,2021","3035,3857,4326",60,RG,"0,1,2,3",NA,"geojson,pbf,shp,svg,topojson",{ext}/NUTS_RG_{resolution}M_{year}_{epsg}_LEVL_{nuts_level}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/nuts
urban_audit,"2001,2004","3035,3857,4326",03,RG,NA,CITY,"geojson,pbf,shp,svg,topojson",{ext}/URAU_{level}_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/urau
urban_audit,"2001,2004","3035,3857,4326",03,RG,NA,KERN,"geojson,pbf,shp,svg,topojson",{ext}/URAU_{level}_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/urau
urban_audit,"2001,2004","3035,3857,4326",03,RG,NA,LUZ,"geojson,pbf,shp,svg,topojson",{ext}/URAU_{level}_RG_{resolution}M_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/urau
urban_audit,"2001,2004","3035,3857,4326",NA,LB,NA,CITY,"geojson,pbf,shp,svg,topojson",{ext}/URAU_{level}_LB_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/urau
urban_audit,"2014,2018,2020","3035,3857,4326",NA,LB,NA,all,"geojson,pbf,shp,svg,topojson",{ext}/URAU_LB_{year}_{epsg}.{ext},https://gisco-services.ec.europa.eu/distribution/v2/urau
